Event Number,Over Number,Bowler Name,Batter Name,Run Outcome,Length of Ball,Line of Ball,Shot Type,Shot Placement,
50,16 1,Sandeep Lamichhane,Babar Azam,1,Good Length,Dab Defense,Mid On,Deep Fine Leg,
51,15 6,Dipendra Singh Airee,Babar Azam,1,Back of Length,Stumps,Pull,Deep Mid Wicket,
52,15 5,Dipendra Singh Airee,Babar Azam,0,Good Length,Slash Drive,Mid Off,Long On,
53,15 4,Dipendra Singh Airee,Babar Azam,4,Off Stump,Drive,Deep Mid Wicket,Deep Point,
54,15 3,Dipendra Singh Airee,Babar Azam,0,Stumps,Dab Drive,Mid On,Deep Point,
55,15 2,Dipendra Singh Airee,Babar Azam,1,Back of Length,Stumps,Drive,Long On,
56,15 1,Dipendra Singh Airee,Babar Azam,0,Good Length,Off Stump,Punch,Point,
57,14 5,Sandeep Lamichhane,Babar Azam,1,Full Length,Drive,Deep Mid Wicket,Deep Point,
58,14 4,Sandeep Lamichhane,Babar Azam,4,Good Length,Off Stump,Drive,Short Cover,
59,14 1,Sandeep Lamichhane,Babar Azam,1,Yorker,Off Stump,Push,Slip,
60,13 3,Lalit Rajbanshi,Babar Azam,1,Good Length,Off Stump,Cut,Deep Cover,
61,13 2,Lalit Rajbanshi,Babar Azam,0,Good Length,Stumps,Sweep,Deep Square Leg,
62,13 1,Lalit Rajbanshi,Babar Azam,0,Full Length,Cut,Deep Point,Deep Square Leg,
63,12 6,Sandeep Lamichhane,Babar Azam,1,On Stumps,Dab Push,Short Mid Wicket,Deep Square Leg,
64,12 5,Sandeep Lamichhane,Babar Azam,0,Off Stump,Off Stump,Punch,Deep Cover,
65,12 4,Sandeep Lamichhane,Babar Azam,4,Off Stump,Stumps,Push,Third Man,
66,12 3,Sandeep Lamichhane,Babar Azam,1,Off Stump,Slash Drive,Short Cover,Slip,
67,12 2,Sandeep Lamichhane,Babar Azam,1,Good Length,Off Stump,Sweep,Deep Fine Leg,
68,12 1,Sandeep Lamichhane,Babar Azam,0,Good Length,Stumps,Sweep,Deep Fine Leg,
69,11 4,Lalit Rajbanshi,Babar Azam,1, good length,Dab Defense,Mid On,Slip,
70,11 3,Lalit Rajbanshi,Babar Azam,0, full length,Off Stump,Sweep,Deep Square Leg,
71,11 2,Lalit Rajbanshi,Babar Azam,0, full length,Cut,Deep Point,Slip,
72,11 1,Lalit Rajbanshi,Babar Azam,1,Off break ball,Dab Push,Short Mid Wicket,Slip,
73,10 4,Gulshan Kumar Jha,Babar Azam,1, back of length,Off Stump,Punch,Deep Cover,
74,10 3,Gulshan Kumar Jha,Babar Azam,0,brilliant fast ball ,Off Stump,Cut,Deep Point,
75,10 2,Gulshan Kumar Jha,Babar Azam,0,fast ball of back of length ,Off Stump,Drive,Long Off,
76,10 1,Gulshan Kumar Jha,Babar Azam,1, Good length ,Stumps,Pull,Deep Mid Wicket,
77,8 1,Gulshan Kumar Jha,Babar Azam,2, Good length ,Dab Push,Mid On,Deep Point,
78,7 6,Karan KC,Babar Azam,1, Good length,Sweep,Deep Square Leg,Deep Point,
79,7 5,Karan KC,Babar Azam,0, Back of length ,Stumps,Slog Sweep,Long On,
80,6 6,Sompal Kami,Babar Azam,0, Dot ball !! arm ball,Dab Push,Mid On,Deep Point,
81,6 5,Sompal Kami,Babar Azam,0, Dot ball !! arm ball,Off Stump,Sweep,Long On,
4,9.2,Mujeeb Ur Rahman,Babar Azam,4,Back of Length,Stumps,Pull,Deep Mid Wicket,
44,30.4,Fazalhaq Farooqi,Babar Azam,0,Good Length,Drive,Deep Mid Wicket,Deep Point,
0,30.3,Fazalhaq Farooqi,Babar Azam,1,Good Length,Dab Drive,Mid On,Deep Point,
0,29.6,Rashid Khan,Babar Azam,0,Back of Length,Stumps,Drive,Long On,
4,29.5,Rashid Khan,Babar Azam,1,Good Length,Off Stump,Punch,Point,
0,29.4,Rashid Khan,Babar Azam,6,Good Length,Off Stump,Drive,Short Cover,
1,29.2,Rashid Khan,Babar Azam,6,Off Stump,Off Stump,Push,Slip,
0,29.1,Rashid Khan,Babar Azam,6,Good Length,Off Stump,Cut,Deep Cover,
3,28.5,Mohammad Nabi,Babar Azam,4,Good Length,Stumps,Sweep,Deep Square Leg,
0,28.4,Mohammad Nabi,Babar Azam,4,Stumps,Cut,Deep Point,Deep Square Leg,
4,28.3,Mohammad Nabi,Babar Azam,1,Good Length,Dab Push,Short Mid Wicket,Deep Square Leg,
1,28.1,Mohammad Nabi,Babar Azam,1,Good Length,Off Stump,Punch,Deep Cover,
1,27.6,Mujeeb Ur Rahman,Babar Azam,1,Stumps,Stumps,Push,Third Man,
0,27.5,Mujeeb Ur Rahman,Babar Azam,1,Good Length,Off Stump,Sweep,Deep Fine Leg,
0,26.6,Mohammad Nabi,Babar Azam,4,Good Length,Stumps,Sweep,Deep Fine Leg,
1,26.2,Mohammad Nabi,Babar Azam,1,Good Length,Dab Defense,Mid On,Slip,
2,25.6,Mujeeb Ur Rahman,Babar Azam,6,Good Length,Off Stump,Sweep,Deep Square Leg,
1,25.4,Mujeeb Ur Rahman,Babar Azam,1,Off Stump,Cut,Deep Point,Slip,
0,25.3,Mujeeb Ur Rahman,Babar Azam,1,Off Stump,Dab Push,Short Mid Wicket,Slip,
0,25.2,Mujeeb Ur Rahman,Babar Azam,1,Good Length,Off Stump,Punch,Deep Cover,
0,24.6,Mohammad Nabi,Babar Azam,2,Good Length,Off Stump,Cut,Deep Point,
1,24.3,Mohammad Nabi,Babar Azam,1,Back of Length,Off Stump,Drive,Long Off,
1,24.1,Mohammad Nabi,Babar Azam,0,Good Length,Stumps,Pull,Deep Mid Wicket,
11,23.6,Rashid Khan,Babar Azam,0,Off Stump,Dab Push,Mid On,Deep Point,
4,23.5,Rashid Khan,Babar Azam,0,Stumps,Sweep,Deep Square Leg,Deep Point,
